Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00     1402     0.00     0.00  BASM_RegREXW
  0.00      1.05     0.00     1380     0.00     0.00  BASM_GetRegWidth
  0.00      1.05     0.00     1380     0.00     0.00  BASM_OpRegImmP
  0.00      1.05     0.00     1286     0.00     0.00  basm_atoi
  0.00      1.05     0.00     1252     0.00     0.00  SXIL_FlushXReg2
  0.00      1.05     0.00     1226     0.00     0.01  BASM_OutOpGeneric2
  0.00      1.05     0.00     1036     0.00     0.00  BASM_OpArgImmP
  0.00      1.05     0.00      981     0.00     0.00  BASM_PP_ParseLine
  0.00      1.05     0.00      928     0.00     0.00  BGBPP_AddDefine
  0.00      1.05     0.00      862     0.00     0.00  BASM_OutMOffs
  0.00      1.05     0.00      862     0.00     0.00  BASM_SegOverride
  0.00      1.05     0.00      803     0.00     0.00  BCCX_TagAttrIsP
  0.00      1.05     0.00      780     0.00     0.00  BGBPP_ParseChar
  0.00      1.05     0.00      718     0.00     0.01  vfdir_vfopen
  0.00      1.05     0.00      708     0.00     0.00  BCCX_AddEnd
  0.00      1.05     0.00      672     0.00     0.01  BGBCC_EmitVar2
  0.00      1.05     0.00      671     0.00     0.00  BASM_PP_Line
  0.00      1.05     0.00      662     0.00     0.00  BASM_OutOpStrRegMem
  0.00      1.05     0.00      623     0.00     0.01  BGBCC_CompileVarStatement
  0.00      1.05     0.00      616     0.00     0.00  sxasm_print_lln
  0.00      1.05     0.00      593     0.00     0.00  BGBCC_IsBinaryP
  0.00      1.05     0.00      524     0.00     0.00  BASM_OutImm
  0.00      1.05     0.00      510     0.00     0.00  BASM_OpRegP
  0.00      1.05     0.00      475     0.00     0.02  BASM_FetchSym
  0.00      1.05     0.00      454     0.00     0.00  BASM_FetchSymHash
  0.00      1.05     0.00      448     0.00     0.00  basm_strisreal
  0.00      1.05     0.00      435     0.00     0.00  BGBCP_ExpressionCast
  0.00      1.05     0.00      435     0.00     0.00  BGBCP_ExpressionUnary
  0.00      1.05     0.00      422     0.00     0.00  SXIL_FreeReg
  0.00      1.05     0.00      414     0.00     0.00  BASM_OutOpGeneric1
  0.00      1.05     0.00      412     0.00     0.00  BGBCC_GenSym
  0.00      1.05     0.00      412     0.00     0.00  BGBCC_GenSym2
  0.00      1.05     0.00      396     0.00     0.00  BGBCP_ExpressionLit
  0.00      1.05     0.00      396     0.00     0.00  BGBCP_ExpressionPostfix
  0.00      1.05     0.00      394     0.00     0.00  BGBCP_DefName2
  0.00      1.05     0.00      369     0.00     0.00  BGBCP_ExpressionExp
  0.00      1.05     0.00      369     0.00     0.00  BGBCP_ExpressionMD
  0.00      1.05     0.00      368     0.00     0.00  BASM_OutDWord
  0.00      1.05     0.00      367     0.00     0.00  BGBCP_ExpressionAS
  0.00      1.05     0.00      367     0.00     0.00  BGBCP_ExpressionSHLR
  0.00      1.05     0.00      359     0.00     0.04  vffopen
  0.00      1.05     0.00      358     0.00     0.01  BASM_OutOpRegMem
  0.00      1.05     0.00      350     0.00     0.00  basm_initvfs
  0.00      1.05     0.00      349     0.00     0.00  BGBCP_ExpressionRCmp
  0.00      1.05     0.00      346     0.00     0.04  basm_loadfile
  0.00      1.05     0.00      343     0.00     0.00  BGBCP_ExpressionBitAnd
  0.00      1.05     0.00      343     0.00     0.00  BGBCP_ExpressionBitOr
  0.00      1.05     0.00      343     0.00     0.00  BGBCP_ExpressionBitXor
  0.00      1.05     0.00      343     0.00     0.00  BGBCP_ExpressionECmp
  0.00      1.05     0.00      342     0.00     0.04  bgbpp_loadfile
  0.00      1.05     0.00      336     0.00     0.00  BGBCP_ExpressionLop
